method,sigma,gate_min,gate_max,max_scale_ratio
fourier_normalized,0.10000000149011612,1.0,1.0,1.0
fourier_normalized,0.10085607320070267,1.0,1.0,1.0
fourier_normalized,0.10171947628259659,1.0,1.0,1.0
fourier_normalized,0.10259027034044266,1.0,1.0,1.0
fourier_normalized,0.10346852242946625,1.0,1.0,1.0
fourier_normalized,0.10435428470373154,1.0,1.0,1.0
fourier_normalized,0.10524763911962509,1.0,1.0,1.0
fourier_normalized,0.1061486303806305,1.0,1.0,1.0
fourier_normalized,0.1070573478937149,1.0,1.0,1.0
fourier_normalized,0.10797383636236191,1.0,1.0,1.0
fourier_normalized,0.10889817029237747,1.0,1.0,1.0
fourier_normalized,0.10983041673898697,1.0,1.0,1.0
fourier_normalized,0.11077065020799637,1.0,1.0,1.0
fourier_normalized,0.11171893030405045,1.0,1.0,1.0
fourier_normalized,0.11267532408237457,1.0,1.0,1.0
fourier_normalized,0.11363990604877472,1.0,1.0,1.0
fourier_normalized,0.11461275070905685,1.0,1.0,1.0
fourier_normalized,0.11559391766786575,1.0,1.0,1.0
fourier_normalized,0.11658348888158798,1.0,1.0,1.0
fourier_normalized,0.11758153140544891,1.0,1.0,1.0
fourier_normalized,0.11858811229467392,1.0,1.0,1.0
fourier_normalized,0.11960331350564957,1.0,1.0,1.0
fourier_normalized,0.12062720954418182,1.0,1.0,1.0
fourier_normalized,0.12165986746549606,1.0,1.0,1.0
fourier_normalized,0.12270136922597885,1.0,1.0,1.0
fourier_normalized,0.12375178188085556,1.0,1.0,1.0
fourier_normalized,0.12481118738651276,1.0,1.0,1.0
fourier_normalized,0.1258796602487564,1.0,1.0,1.0
fourier_normalized,0.12695728242397308,1.0,1.0,1.0
fourier_normalized,0.12804412841796875,1.0,1.0,1.0
fourier_normalized,0.12914028763771057,1.0,1.0,1.0
fourier_normalized,0.13024581968784332,1.0,1.0,1.0
fourier_normalized,0.13136082887649536,1.0,1.0,1.0
fourier_normalized,0.13248537480831146,1.0,1.0,1.0
fourier_normalized,0.1336195468902588,1.0,1.0,1.0
fourier_normalized,0.1347634196281433,1.0,1.0,1.0
fourier_normalized,0.13591709733009338,1.0,1.0,1.0
fourier_normalized,0.13708065450191498,1.0,1.0,1.0
fourier_normalized,0.13825416564941406,1.0,1.0,1.0
fourier_normalized,0.1394377201795578,1.0,1.0,1.0
fourier_normalized,0.14063140749931335,1.0,1.0,1.0
fourier_normalized,0.1418353170156479,1.0,1.0,1.0
fourier_normalized,0.14304953813552856,1.0,1.0,1.0
fourier_normalized,0.14427414536476135,1.0,1.0,1.0
fourier_normalized,0.1455092430114746,1.0,1.0,1.0
fourier_normalized,0.1467549055814743,1.0,1.0,1.0
fourier_normalized,0.1480112373828888,1.0,1.0,1.0
fourier_normalized,0.14927831292152405,1.0,1.0,1.0
fourier_normalized,0.15055625140666962,1.0,1.0,1.0
fourier_normalized,0.15184512734413147,1.0,1.0,1.0
fourier_normalized,0.15314503014087677,1.0,1.0,1.0
fourier_normalized,0.15445606410503387,1.0,1.0,1.0
fourier_normalized,0.15577831864356995,1.0,1.0,1.0
fourier_normalized,0.15711189806461334,1.0,1.0,1.0
fourier_normalized,0.15845689177513123,1.0,1.0,1.0
fourier_normalized,0.15981340408325195,1.0,1.0,1.0
fourier_normalized,0.1611815243959427,1.0,1.0,1.0
fourier_normalized,0.1625613570213318,1.0,1.0,1.0
fourier_normalized,0.1639530062675476,1.0,1.0,1.0
fourier_normalized,0.1653565615415573,1.0,1.0,1.0
fourier_normalized,0.16677214205265045,1.0,1.0,1.0
fourier_normalized,0.1681998372077942,1.0,1.0,1.0
fourier_normalized,0.16963975131511688,1.0,1.0,1.0
fourier_normalized,0.1710919886827469,1.0,1.0,1.0
fourier_normalized,0.17255665361881256,1.0,1.0,1.0
fourier_normalized,0.17403388023376465,1.0,1.0,1.0
fourier_normalized,0.17552372813224792,1.0,1.0,1.0
fourier_normalized,0.17702634632587433,1.0,1.0,1.0
fourier_normalized,0.17854182422161102,1.0,1.0,1.0
fourier_normalized,0.18007026612758636,1.0,1.0,1.0
fourier_normalized,0.1816118061542511,1.0,1.0,1.0
fourier_normalized,0.1831665337085724,1.0,1.0,1.0
fourier_normalized,0.18473458290100098,1.0,1.0,1.0
fourier_normalized,0.18631604313850403,1.0,1.0,1.0
fourier_normalized,0.1879110485315323,1.0,1.0,1.0
fourier_normalized,0.1895197033882141,1.0,1.0,1.0
fourier_normalized,0.19114212691783905,1.0,1.0,1.0
fourier_normalized,0.19277845323085785,1.0,1.0,1.0
fourier_normalized,0.19442877173423767,1.0,1.0,1.0
fourier_normalized,0.19609323143959045,1.0,1.0,1.0
fourier_normalized,0.19777193665504456,1.0,1.0,1.0
fourier_normalized,0.19946500658988953,1.0,1.0,1.0
fourier_normalized,0.2011725753545761,1.0,1.0,1.0
fourier_normalized,0.20289476215839386,1.0,1.0,1.0
fourier_normalized,0.20463168621063232,1.0,1.0,1.0
fourier_normalized,0.20638348162174225,1.0,1.0,1.0
fourier_normalized,0.20815028250217438,1.0,1.0,1.0
fourier_normalized,0.20993220806121826,1.0,1.0,1.0
fourier_normalized,0.21172937750816345,1.0,1.0,1.0
fourier_normalized,0.2135419398546219,1.0,1.0,1.0
fourier_normalized,0.21537001430988312,1.0,1.0,1.0
fourier_normalized,0.21721374988555908,1.0,1.0,1.0
fourier_normalized,0.21907325088977814,1.0,1.0,1.0
fourier_normalized,0.22094868123531342,1.0,1.0,1.0
fourier_normalized,0.22284016013145447,1.0,1.0,1.0
fourier_normalized,0.22474783658981323,1.0,1.0,1.0
fourier_normalized,0.22667184472084045,1.0,1.0,1.0
fourier_normalized,0.22861233353614807,1.0,1.0,1.0
fourier_normalized,0.23056942224502563,1.0,1.0,1.0
fourier_normalized,0.23254325985908508,1.0,1.0,1.0
fourier_normalized,0.23453401029109955,1.0,1.0,1.0
fourier_normalized,0.23654179275035858,1.0,1.0,1.0
fourier_normalized,0.23856677114963531,1.0,1.0,1.0
fourier_normalized,0.2406090646982193,1.0,1.0,1.0
fourier_normalized,0.24266886711120605,1.0,1.0,1.0
fourier_normalized,0.24474628269672394,1.0,1.0,1.0
fourier_normalized,0.24684149026870728,1.0,1.0,1.0
fourier_normalized,0.248954638838768,1.0,1.0,1.0
fourier_normalized,0.25108587741851807,1.0,1.0,1.0
fourier_normalized,0.2532353699207306,1.0,1.0,1.0
fourier_normalized,0.2554032504558563,1.0,1.0,1.0
fourier_normalized,0.2575896680355072,1.0,1.0,1.0
fourier_normalized,0.25979483127593994,1.0,1.0,1.0
fourier_normalized,0.2620188891887665,1.0,1.0,1.0
fourier_normalized,0.26426196098327637,1.0,1.0,1.0
fourier_normalized,0.26652422547340393,1.0,1.0,1.0
fourier_normalized,0.2688058614730835,1.0,1.0,1.0
fourier_normalized,0.2711070477962494,1.0,1.0,1.0
fourier_normalized,0.27342793345451355,1.0,1.0,1.0
fourier_normalized,0.2757686674594879,1.0,1.0,1.0
fourier_normalized,0.2781294584274292,1.0,1.0,1.0
fourier_normalized,0.28051045536994934,1.0,1.0,1.0
fourier_normalized,0.28291183710098267,1.0,1.0,1.0
fourier_normalized,0.2853337526321411,1.0,1.0,1.0
fourier_normalized,0.2877764403820038,1.0,1.0,1.0
fourier_normalized,0.29024001955986023,1.0,1.0,1.0
